hq,jkb,kgb,gqd,pjld,gqp,pjlp,gqs,pjls,sjczl
62.15,1.25,3.57,410.0,1.56,410.0,0.43,410.0,0.22,380.9
62.15,1.25,3.57,410.0,1.56,410.0,0.43,410.0,0.34,402.35
62.15,2.0,3.57,410.0,1.56,0.0,0.0,0.0,0.0,112.5
62.15,2.0,3.57,410.0,1.56,410.0,0.43,410.0,0.12,210.6
62.15,2.0,3.57,410.0,1.56,410.0,0.43,410.0,0.22,237.25
62.15,2.0,3.57,410.0,1.56,410.0,0.43,410.0,0.34,235.3
64.18,0.5,3.57,410.0,1.29,410.0,0.23,410.0,0.13,397.8
64.18,0.5,3.57,410.0,1.29,410.0,0.47,410.0,0.13,490.2
64.18,0.5,3.57,410.0,1.29,410.0,0.94,410.0,0.13,454.8
64.18,0.85,3.57,410.0,1.29,410.0,0.47,410.0,0.13,392.4
64.18,0.85,3.57,410.0,1.29,410.0,0.47,410.0,0.24,360.6
64.18,0.85,3.57,410.0,1.29,410.0,0.47,410.0,0.37,373.8
64.18,1.25,3.57,410.0,1.29,0.0,0.0,410.0,0.13,213.6
64.18,1.25,3.57,410.0,1.29,410.0,0.23,410.0,0.13,260.4
64.18,1.25,3.57,410.0,1.29,410.0,0.47,410.0,0.13,276.6
64.18,1.25,3.57,410.0,1.29,410.0,0.94,410.0,0.13,291.0
64.18,2.0,3.57,410.0,1.29,410.0,0.46,410.0,0.13,165.0
93.16,0.5,3.57,410.0,1.29,0.0,0.0,410.0,0.13,438.0
93.16,0.5,3.57,410.0,1.29,410.0,0.23,410.0,0.13,541.8
93.16,0.5,3.57,410.0,1.29,410.0,0.47,410.0,0.13,548.4
93.16,0.5,3.57,410.0,1.29,410.0,0.94,410.0,0.13,546.6
93.16,0.85,3.57,410.0,1.29,410.0,0.47,410.0,0.13,417.6
93.16,0.85,3.57,410.0,1.29,410.0,0.47,410.0,0.24,410.4
93.16,0.85,3.57,410.0,1.29,410.0,0.47,410.0,0.37,408.0
93.16,1.25,3.57,410.0,1.29,0.0,0.0,410.0,0.13,291.0
93.16,1.25,3.57,410.0,1.29,410.0,0.23,410.0,0.13,310.2
93.16,1.25,3.57,410.0,1.29,410.0,0.47,410.0,0.13,338.4
93.16,1.25,3.57,410.0,1.29,410.0,0.94,410.0,0.13,333.0
93.16,2.0,3.57,410.0,1.29,410.0,0.47,410.0,0.13,213.6
30.0,1.25,2.68,410.0,1.56,410.0,0.43,410.0,0.12,228.15
30.0,1.25,4.46,410.0,1.56,410.0,0.43,410.0,0.12,207.35
62.15,0.5,2.68,410.0,1.56,410.0,0.43,410.0,0.12,745.55
62.15,0.85,2.68,410.0,1.56,410.0,0.43,410.0,0.12,529.75
62.15,1.25,2.68,410.0,1.56,410.0,0.43,410.0,0.12,377.65
62.15,0.5,4.46,410.0,1.56,410.0,0.43,410.0,0.12,702.0
62.15,0.85,4.46,410.0,1.56,410.0,0.43,410.0,0.12,567.45
62.15,1.25,4.46,410.0,1.56,410.0,0.43,410.0,0.12,362.7
35.44,1.14,4.44,420.0,1.25,450.0,0.06,450.0,0.31,1286.0
35.44,1.14,4.44,420.0,1.25,0.0,0.0,450.0,0.1,1277.0
27.85,1.42,3.33,462.0,2.79,407.0,0.1,407.0,0.28,251.0
27.85,1.42,3.33,462.0,2.79,407.0,0.1,407.0,0.28,237.0
27.85,1.42,3.33,462.0,2.79,0.0,0.0,0.0,0.0,221.0
27.85,1.42,3.33,462.0,2.79,0.0,0.0,0.0,0.0,196.0
41.01,0.89,3.54,427.0,2.04,545.0,0.1,545.0,0.23,456.0
41.01,0.89,3.54,427.0,2.04,545.0,0.1,545.0,0.23,426.0
41.01,0.81,3.54,427.0,2.04,0.0,0.0,0.0,0.0,468.0
41.01,0.81,3.54,427.0,2.04,0.0,0.0,0.0,0.0,459.0
63.67,1.57,3.54,434.0,4.08,586.0,0.15,586.0,0.38,265.0
63.67,1.43,3.54,434.0,4.08,0.0,0.0,0.0,0.0,292.0
63.67,0.82,3.54,434.0,4.08,0.0,0.0,0.0,0.0,460.0
74.43,0.27,2.0,504.8,1.23,0.0,0.0,375.2,0.48,675.0
65.32,0.27,3.0,504.8,1.23,0.0,0.0,375.2,0.48,630.0
68.23,0.27,4.0,504.8,1.23,0.0,0.0,375.2,0.48,640.0
72.53,0.27,5.0,504.8,1.23,0.0,0.0,375.2,0.48,630.0
70.89,0.54,2.0,504.8,1.23,0.0,0.0,375.2,0.48,468.0
57.85,0.54,3.0,504.8,1.23,0.0,0.0,375.2,0.48,445.0
68.23,0.54,4.0,504.8,1.23,0.0,0.0,375.2,0.48,500.0
67.09,0.54,5.0,504.8,1.23,0.0,0.0,375.2,0.48,480.0
64.81,0.81,2.0,504.8,1.23,0.0,0.0,375.2,0.48,403.0
55.7,0.81,3.0,504.8,1.23,0.0,0.0,375.2,0.48,400.0
61.01,1.08,2.0,504.8,1.23,0.0,0.0,375.2,0.48,270.0
55.82,1.08,3.0,504.8,1.23,0.0,0.0,375.2,0.48,280.0
59.24,1.08,4.0,504.8,1.23,0.0,0.0,375.2,0.48,290.0
60.76,1.08,5.0,504.8,1.23,0.0,0.0,375.2,0.48,290.0
64.05,1.62,3.0,504.8,1.23,0.0,0.0,375.2,0.48,220.0
56.46,1.62,4.0,504.8,1.23,0.0,0.0,375.2,0.48,190.0
57.34,1.62,5.0,504.8,1.23,0.0,0.0,375.2,0.48,173.0
52.03,2.16,4.0,504.8,1.23,0.0,0.0,375.2,0.48,150.0
32.5,0.43,1.0,382.0,0.23,454.0,0.51,454.0,0.24,239.5
37.0,0.43,1.0,493.0,0.91,454.0,0.51,454.0,0.24,375.0
31.0,1.55,3.0,382.0,0.23,454.0,0.51,454.0,0.22,78.0
37.0,1.56,3.0,493.0,0.91,454.0,0.51,454.0,0.22,149.5
31.0,0.46,1.0,326.0,0.27,454.0,0.35,454.0,0.21,292.5
35.5,0.47,1.0,330.0,1.17,454.0,0.35,454.0,0.21,485.0
45.0,1.53,3.0,326.0,0.27,454.0,0.35,454.0,0.2,123.5
41.5,1.54,3.0,330.0,1.17,454.0,0.35,454.0,0.2,211.0
28.4,0.43,1.0,322.0,0.91,438.0,0.51,438.0,0.24,307.5
34.9,0.46,1.0,334.0,0.27,438.0,0.35,438.0,0.21,303.0
43.4,1.53,3.0,334.0,0.27,438.0,0.35,438.0,0.2,90.0
39.4,1.54,3.0,303.0,1.17,438.0,0.35,438.0,0.2,199.0
25.82,0.45,1.36,317.0,0.2,0.0,0.0,0.0,0.0,165.0
29.57,0.4,1.21,317.0,0.17,0.0,0.0,0.0,0.0,217.0
34.56,0.3,0.91,317.0,0.13,0.0,0.0,0.0,0.0,331.0
15.52,0.3,0.91,317.0,0.12,0.0,0.0,0.0,0.0,222.0
25.82,0.62,1.81,317.0,0.74,0.0,0.0,0.0,0.0,138.0
26.98,0.45,1.36,317.0,0.55,0.0,0.0,0.0,0.0,184.0
31.39,0.4,1.21,317.0,0.47,0.0,0.0,0.0,0.0,252.0
35.9,0.3,0.91,317.0,0.34,0.0,0.0,0.0,0.0,386.0
27.26,0.62,1.81,317.0,0.74,317.0,0.72,317.0,0.41,184.0
30.91,0.45,1.36,317.0,0.53,317.0,0.45,317.0,0.4,287.0
24.77,0.4,1.21,317.0,0.48,317.0,0.39,317.0,0.41,242.0
20.74,0.3,0.91,317.0,0.34,317.0,0.26,317.0,0.4,282.0
24.8,1.0,4.0,335.0,1.51,448.0,0.29,448.0,0.21,300.0
29.07,1.0,4.0,335.0,1.51,448.0,0.2,448.0,0.13,277.3
27.03,2.0,5.0,335.0,1.51,448.0,0.29,448.0,0.21,200.0
24.0,2.5,5.0,335.0,1.51,448.0,0.29,448.0,0.21,138.9
23.14,0.8,1.5,235.0,1.33,0.0,0.0,0.0,0.0,177.38
27.84,0.5,1.5,235.0,1.33,0.0,0.0,0.0,0.0,235.69
27.75,0.4,1.5,235.0,1.33,0.0,0.0,0.0,0.0,392.98
24.31,0.5,1.5,235.0,1.72,0.0,0.0,0.0,0.0,286.65
29.22,0.5,1.5,235.0,1.5,0.0,0.0,0.0,0.0,245.0
27.16,1.3,2.5,235.0,1.33,0.0,0.0,0.0,0.0,137.2
27.06,0.9,2.5,235.0,1.33,0.0,0.0,0.0,0.0,205.8
32.45,0.7,2.5,235.0,1.33,0.0,0.0,0.0,0.0,269.5
30.69,0.9,2.5,235.0,1.1,0.0,0.0,0.0,0.0,170.52
29.12,0.9,2.5,235.0,1.72,0.0,0.0,0.0,0.0,232.75
28.04,1.9,4.0,235.0,1.33,0.0,0.0,0.0,0.0,67.62
34.12,1.4,4.0,235.0,1.33,0.0,0.0,0.0,0.0,139.16
30.39,1.1,4.0,235.0,1.33,0.0,0.0,0.0,0.0,171.99
